code,subject,number,title,credits_min,credits_max,level,school,section_count
SOAD-M 404,SOAD,404,INTERNATL TEXTILES & APP TRADE,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-M 410,SOAD,410,APPAREL ENTREPRENEURSHIP,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-M 412,SOAD,412,GLOBAL SOURCING,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-M 413,SOAD,413,PLANNING AND ANALYSIS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-M 416,SOAD,416,SUSTAINABILITY IN PRODUCT,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-M 445,SOAD,445,DIGITAL AGE CONSUMER INSIGHTS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-M 519,SOAD,519,SPECIAL PROB: TEXTLS & APPAREL,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-M 599,SOAD,599,MASTERS THESIS,1.0,6.0,500,School of Art and Design (SOAD),1
SOAD-N 110,SOAD,110,INTRO TO STUDIO ART,3.0,3.0,100,School of Art and Design (SOAD),4
SOAD-N 130,SOAD,130,DIGITAL IMAGERY FOR NONMAJORS,3.0,3.0,100,School of Art and Design (SOAD),4
SOAD-N 198,SOAD,198,INTRO TO PHOTOGRAPHY NON-MAJ,3.0,3.0,100,School of Art and Design (SOAD),4
SOAD-S 200,SOAD,200,DRAWING 1,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-S 201,SOAD,201,FIGURE DRAWING & ANATOMY,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-S 210,SOAD,210,DIGITAL ART: SURVEY & PRACTICE,3.0,3.0,200,School of Art and Design (SOAD),4
SOAD-S 220,SOAD,220,FIBERS I,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-S 230,SOAD,230,PAINTING 1,3.0,3.0,200,School of Art and Design (SOAD),2
SOAD-S 240,SOAD,240,PRINTMAKING I,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-S 250,SOAD,250,GRAPHIC DESIGN I,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-S 260,SOAD,260,CERAMICS 1,3.0,3.0,200,School of Art and Design (SOAD),5
SOAD-S 270,SOAD,270,SCULPTURE 1,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-S 271,SOAD,271,FIGURATIVE SCULPTURE I,3.0,3.0,200,School of Art and Design (SOAD),1
SOAD-S 280,SOAD,280,METALSMITHING & JWLRY DESIGN I,3.0,3.0,200,School of Art and Design (SOAD),3
SOAD-S 290,SOAD,290,PHOTOGRAPHY I,3.0,3.0,200,School of Art and Design (SOAD),5
SOAD-S 300,SOAD,300,DRAWING 2,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-S 310,SOAD,310,INTERACTIVE MULTIMEDIA,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 311,SOAD,311,VIDEO ART,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 313,SOAD,313,3D COMPUTER GRAPHICS,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 320,SOAD,320,FIBERS II,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 330,SOAD,330,PAINTING 2,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-S 341,SOAD,341,PRINTMAKING II INTAGLIO,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 343,SOAD,343,PRINTMAKING II LITHOGRAPHY,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 351,SOAD,351,GRAPHIC DESIGN II TYPOGRAPHY,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-S 360,SOAD,360,CERAMICS 2,3.0,3.0,300,School of Art and Design (SOAD),2
SOAD-S 370,SOAD,370,SCULPTURE 2,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 380,SOAD,380,METALSMITHING & JEWELRY DES II,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 390,SOAD,390,PHOTOGRAPHY II,3.0,3.0,300,School of Art and Design (SOAD),1
SOAD-S 400,SOAD,400,DRAWING 3,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 410,SOAD,410,ADVANCED MULTIMEDIA,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 411,SOAD,411,DIGITAL VIDEO,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 412,SOAD,412,BFA DIGITAL ART,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 413,SOAD,413,COMPUTER GRAPHICAL ENVIR,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 419,SOAD,419,BFA DIGITAL ART SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 420,SOAD,420,FIBERS III,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 422,SOAD,422,BFA FIBERS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 429,SOAD,429,BFA FIBERS SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 430,SOAD,430,PAINTING 3,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 432,SOAD,432,BFA PAINTING,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 439,SOAD,439,BFA PAINTING SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 441,SOAD,441,PRINTMAKING III INTAGLIO,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 442,SOAD,442,BFA PRINTMAKING,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 443,SOAD,443,PRINTMAKING III LITHOGRAPHY,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 449,SOAD,449,BFA PRINTMAKING SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 450,SOAD,450,GRAPHIC DESIGN III,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 452,SOAD,452,BFA GRAPHIC DESIGN,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 459,SOAD,459,BFA GRAPHIC DESIGN SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 460,SOAD,460,CERAMICS 3,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 462,SOAD,462,BFA CERAMICS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 468,SOAD,468,HISTORY OF CERAMICS,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 469,SOAD,469,BFA CERAMICS SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 470,SOAD,470,SCULPTURE 3,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 472,SOAD,472,BFA SCULPTURE,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 479,SOAD,479,BFA SCULPTURE SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 480,SOAD,480,METALSMITHING & JWLRY DES III,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 482,SOAD,482,BFA METALSMITHING & JWLRY DES,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 489,SOAD,489,BFA METALS & JEWELRY SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 490,SOAD,490,PHOTOGRAPHY III,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 492,SOAD,492,BFA PHOTOGRAPHY,3.0,3.0,400,School of Art and Design (SOAD),1
SOAD-S 499,SOAD,499,BFA PHOTOGRAPHY SEMINAR,3.0,3.0,400,School of Art and Design (SOAD),2
SOAD-S 500,SOAD,500,GRADUATE TOPICS IN DRAWING,1.0,3.0,500,School of Art and Design (SOAD),2
SOAD-S 509,SOAD,509,MFA DRAWING SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 510,SOAD,510,GRADUATE TOPICS IN DIGITAL ART,1.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 511,SOAD,511,GRADUATE DIGITAL ART,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 519,SOAD,519,MFA DIGITAL ART SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 520,SOAD,520,GRADUATE TOPICS IN FIBERS,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 521,SOAD,521,GRADUATE FIBERS,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 529,SOAD,529,MFA FIBERS SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 530,SOAD,530,GRADUATE TOPICS IN PAINTING,1.0,3.0,500,School of Art and Design (SOAD),2
SOAD-S 531,SOAD,531,GRADUATE PAINTING,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 541,SOAD,541,GRADUATE PRINTMAKING,3.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 542,SOAD,542,GRADUATE INTAGLIO,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 543,SOAD,543,GRADUATE LITHOGRAPHY,1.0,3.0,500,School of Art and Design (SOAD),1
SOAD-S 549,SOAD,549,MFA PRINTMAKING SEMINAR,3.0,3.0,500,School of Art and Design (SOAD),3
SOAD-S 550,SOAD,550,GRAD TOPICS IN GRAPHIC DESIGN,3.0,3.0,500,School of Art and Design (SOAD),2
SOAD-S 551,SOAD,551,GRADUATE GRAPHIC DESIGN,3.0,3.0,500,School of Art and Design (SOAD),1
