class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
3260,CHEM-C 341,LEC,CLOSED,,290,0,8,IN_PERSON,Reck C; Wood A; Manley J,MOWEFR,10:25,11:15,CH,122
32604,MSCH-X 360,LEC,OPEN,LA W/S SERIES: CREATIVE ADVER,35,14,0,IN_PERSON,Madejski I; Edwards S,TU,19:00,22:00,ARR,
32605,MSCH-X 360,LEC,OPEN,LA W/S SERIES: BUS OF HW PROD,35,14,0,IN_PERSON,Madejski I; Timpe E,TU,19:00,22:00,ARR,
32607,ENG-L 553,LEC,OPEN,20TH CENT AMERICAN NARR POETRY,17,2,0,ONLINE,Brodeur B,,,,OL,ONLINE
3261,CHEM-C 342,DIS,OPEN,,40,15,0,IN_PERSON,Carricondo B,WE,18:40,19:30,WH,009
3262,CHEM-C 342,DIS,OPEN,,40,3,0,IN_PERSON,Carricondo B,TH,16:20,17:10,BH,008
32627,ENG-W 500,LEC,CLOSED,,19,0,5,ONLINE,Helton E,,,,OL,ONLINE
3263,CHEM-H 342,LEC,OPEN,,24,10,0,IN_PERSON,Cook S,MOWEFR,11:35,12:25,CH,001
3264,CHEM-H 342,DIS,OPEN,,12,4,0,IN_PERSON,Miraghaee S,WE,13:55,14:45,BH,237
32644,HIST-T 590,LEC,CLOSED,MODERN U.S. WOMEN'S HISTORY,15,0,2,ONLINE,Licata J,,,,OL,ONLINE
3265,CHEM-C 343,LAB,CLOSED,,20,0,0,IN_PERSON,Denton M,MO,17:20,21:20,CH,147
32650,HIST-T 570,LEC,CLOSED,,20,0,0,ONLINE,Mackie T,,,,OL,ONLINE
32657,SOC-S 318,LEC,OPEN,,100,67,0,IN_PERSON,Kelly B,TUTH,15:55,17:10,LH,102
3266,CHEM-C 343,LAB,CLOSED,,20,0,0,IN_PERSON,Johnson M,TH,17:20,21:20,CH,147
3267,BIOL-P 451,LEC,OPEN,,50,5,0,IN_PERSON,Schlegel W,MOWE,15:55,17:10,GA,1106
3268,CLLC-Q 199,LEC,OPEN,,10,1,0,IN_PERSON,Cluver Y,TUTH,10:25,11:15,EO,C110
3269,CLLC-Q 199,LEC,OPEN,,10,3,0,IN_PERSON,Cluver Y,TUTH,13:55,14:45,EO,C110
32696,HISP-X 272,LEC,OPEN,,10,10,0,,Namorato L; Herrera I,,,,ARR,
3270,CLLC-Q 199,LEC,CLOSED,,10,0,0,IN_PERSON,Cluver Y,TUTH,15:10,16:00,EO,C112
32705,EDUC-A 591,LEC,OPEN,,6,1,0,,Moore M,,,,WB,WEB
32706,EDUC-A 592,LEC,OPEN,,6,1,0,,Moore M,,,,WB,WEB
32707,EDUC-A 593,LEC,OPEN,,6,1,0,,Moore M,,,,WB,WEB
32708,HISP-X 370,LEC,OPEN,,20,20,0,,Herrera I; Risner J,,,,ARR,
3271,CLLC-Q 199,LEC,OPEN,,10,1,0,IN_PERSON,Cluver Y,MOWE,12:45,13:35,EO,C110
3272,CLLC-Q 199,LEC,CLOSED,,10,0,0,IN_PERSON,Cluver Y,TUTH,11:35,12:25,EO,C110
32729,SPH-K 350,LEC,OPEN,FACTORS LMTG ATHL PERFORM,30,1,0,IN_PERSON,Chapman R,MOWE,09:35,10:50,WH,104
32738,SPH-K 350,LEC,OPEN,SLEEP & EXERCISE/SPORT,30,2,1,IN_PERSON,Robinson A,TUTH,14:20,15:35,BH,209
3274,CLLC-Q 199,LEC,CLOSED,,10,0,0,IN_PERSON,Cluver Y,MOWE,09:10,10:00,EO,C112
32743,ABEH-A 310,LEC,CLOSED,,25,0,8,IN_PERSON,Fudickar A,TUTH,14:20,15:35,JH,001
3275,CLLC-Q 199,LEC,OPEN,,10,1,0,IN_PERSON,Cluver Y,MOWE,10:25,11:15,EO,C110
3276,POLS-Y 675,LEC,OPEN,,11,5,0,IN_PERSON,Isaac J,WE,12:30,15:00,ED,3004
32789,SPEA-A 450,LEC,OPEN,ARTS WRITING & ADV MARKETING,30,20,0,IN_PERSON,Doades S,MOWE,08:00,09:15,PV,278
32793,HIST-C 220,DIS,CLOSED,,15,0,0,IN_PERSON,Elliott C,TH,16:20,17:10,BH,318
32794,LTAM-M 101,LEC,OPEN,,20,20,0,IN_PERSON,Castaneda Q,TUTH,12:45,14:45,BH,214
32795,LTAM-M 501,LEC,OPEN,,20,20,0,IN_PERSON,Castaneda Q,TUTH,12:45,14:45,BH,214
32808,LTAM-L 230,LEC,CLOSED,,25,0,0,IN_PERSON,Castaneda Q,TUTH,15:10,16:40,ED,1204
32809,LTAM-L 275,LEC,CLOSED,,25,0,2,IN_PERSON,Castaneda Q,MOWE,15:10,16:40,SB,140
32810,LTAM-L 280,LEC,OPEN,,21,14,0,IN_PERSON,Castaneda Q,MOWE,12:45,14:15,GY,4069
32812,LTAM-L 210,LEC,OPEN,,25,6,0,IN_PERSON,Siqueira A,TUTH,14:20,15:35,LH,004
32841,BUS-A 313,LEC,OPEN,,30,15,0,IN_PERSON,Levitt B,MO,19:05,20:20,HH,3030
32842,BUS-A 313,LEC,OPEN,,30,2,0,IN_PERSON,Lunsford T,TU,17:30,18:45,HH,3034
32843,BUS-A 314,LEC,CLOSED,,50,0,2,IN_PERSON,Salome S,MOWE,17:30,18:45,HH,2046
32857,ENG-L 646,LEC,CLOSED,,15,0,0,ONLINE,Balthaser B,,,,OL,ONLINE
3286,SPH-R 413,LEC,OPEN,,65,60,0,IN_PERSON,Orner Jr R,MOWEFR,10:20,11:10,BH,003
3288,MSCH-T 427,LEC,CLOSED,,25,0,3,IN_PERSON,Sawhney H,MOWE,11:10,12:25,FF,215
32885,EDUC-Q 528,LEC,OPEN,,25,20,0,ONLINE,Hequembourg L,,,,OL,ONLINE
3289,PSY-K 300,LEC,OPEN,,106,25,0,IN_PERSON,Patton C,MOWE,09:35,10:50,PY,101
32900,MSCH-J 360,LEC,CLOSED,SOCIAL MEDIA & JOURNALISM,18,0,1,IN_PERSON,Lee T,TUTH,14:20,15:35,FF,003
